"ref_area.label","indicator.label","source.label","sex.label","classif1.label","classif2.label","time","obs_value","obs_status.label","note_indicator.label","note_source.label"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Male","Disability status (Aggregate): Total","Currency: 2017 PPP $","2021",897.09,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Male","Disability status (Aggregate): Total","Currency: U.S. dollars","2021",304.08,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Male","Disability status (Aggregate): Persons with disability","Currency: Local currency","2021",120612.37,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Male","Disability status (Aggregate): Persons with disability","Currency: 2017 PPP $","2021",706.33,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Male","Disability status (Aggregate): Persons with disability","Currency: U.S. dollars","2021",239.42,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Male","Disability status (Aggregate): Persons without disability","Currency: Local currency","2021",154771.11,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Male","Disability status (Aggregate): Persons without disability","Currency: 2017 PPP $","2021",906.38,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Male","Disability status (Aggregate): Persons without disability","Currency: U.S. dollars","2021",307.23,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Female","Disability status (Aggregate): Total","Currency: Local currency","2021",105301.15,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Female","Disability status (Aggregate): Total","Currency: 2017 PPP $","2021",616.67,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Female","Disability status (Aggregate): Total","Currency: U.S. dollars","2021",209.03,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Female","Disability status (Aggregate): Persons with disability","Currency: Local currency","2021",108680.63,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Female","Disability status (Aggregate): Persons with disability","Currency: 2017 PPP $","2021",636.46,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Female","Disability status (Aggregate): Persons with disability","Currency: U.S. dollars","2021",215.73,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Female","Disability status (Aggregate): Persons without disability","Currency: Local currency","2021",105205.11,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
